"subject"	"LAYING"	"SITTING"	"STANDING"	"WALKING"	"WALKING_DOWNSTAIRS"	"WALKING_UPSTAIRS"	"measure"	"variable"
"1"	1	0.6921133129	0.205339023787234	-0.248024904528302	-0.260094338736842	-0.255517232653061	-0.343993198679245	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"2"	2	0.764376011041667	-0.0898988765652174	-0.34605691462963	-0.322984228474576	-0.31218046106383	-0.406181630208333	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"3"	3	0.846302243548387	0.118847540965385	-0.285284768360656	-0.241903841551724	-0.216421141836735	-0.374559464576271	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"4"	4	0.914977656851852	0.2100646140494	-0.0762165602142857	-0.06725896585	-0.0537895461906667	-0.2232467125	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"5"	5	0.961919760192308	0.171286266802273	-0.0338693902428571	-0.08291376875	-0.0590313160480425	-0.260124516595745	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"6"	6	0.951792929473684	0.0787516807	-0.209329872982456	-0.194814752807018	-0.204091408333333	-0.331891138627451	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"7"	7	0.40374767	0.0163569040025	-0.099121292245283	-0.13910035177193	-0.116038134723404	-0.226952792352941	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"8"	8	0.598553834444444	0.240986698434783	-0.0754310953792593	-0.199899088333333	-0.173623312368421	-0.280824027560976	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"9"	9	-0.0996191422	-0.03105214819	0.00816576986888889	-0.0130146239615385	-0.0272975885619048	-0.0408367825714286	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"10"	10	-0.119156407241379	-0.0344205616666667	-0.0236647114772727	-0.0648407767924528	-0.0552319088421053	-0.0486233843404255	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"11"	11	0.953076756140351	0.218846161509434	-0.149734466808511	-0.19251699779661	-0.192116671521739	-0.332457752037037	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"12"	12	0.810598329666667	0.0969501979280392	-0.197797419836066	-0.1378289354	-0.167863837391304	-0.246625307884615	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"13"	13	0.667770104677419	0.109332909385714	-0.21773374245614	-0.264823112982456	-0.20418686787234	-0.348067037272727	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
